"MI","Acme Creek","stream","Grand Traverse","26","055","444628N","0853015W","44.77444","-85.50417","444402N","0852843W","44.73389","-85.47861","","","Traverse City SE"
"MI","Acme Heliport","airport","Macomb","26","099","422819N","0830039W","42.47194","-83.01083","","","","","645","","Highland Park"
"MI","Acme Skyport","airport","Antrim","26","009","444552N","0852806W","44.76444","-85.46833","","","","","711","","Williamsburg"
"MI","Acme Township Cemetery","cemetery","Antrim","26","009","444646N","0852930W","44.77944","-85.49167","","","","","656","","Williamsburg"
"MI","Acme, Township of","civil","Grand Traverse","26","055","444740N","0852710W","44.79444","-85.45278","","","","","","","Williamsburg"
"MI","Acorn School","school","Van Buren","26","159","421443N","0855152W","42.24528","-85.86444","","","","","747","","Lawton"
"MI","Ada","ppl","Kent","26","081","425715N","0852920W","42.95417","-85.48889","","","","","","","Cascade"
"MI","Ada Cemetery","cemetery","Kent","26","081","425745N","0853017W","42.9625","-85.50472","","","","","","","Grand Rapids East"
"MI","Ada, Township of","civil","Kent","26","081","425858N","0852853W","42.98278","-85.48139","","","","","","","Cascade"
"MI","Adair","ppl","St. Clair","26","147","424753N","0823802W","42.79806","-82.63389","","","","","","","Adair"
"MI","Adair Airstrip","airport","Macomb","26","099","424732N","0823821W","42.79222","-82.63917","","","","","631","","Adair"
"MI","Adair Creek","stream","Cheboygan","26","031","452247N","0842540W","45.37972","-84.42778","452159N","0842647W","45.36639","-84.44639","","","Legrand"
"MI","Adair Gas and Oil Field","oilfield","St. Clair","26","147","424722N","0823657W","42.78944","-82.61583","","","","","","","Rattle Run"
"MI","Adams Cemetery","cemetery","Branch","26","023","415026N","0851636W","41.84056","-85.27667","","","","","","","Burr Oak"
"MI","Adams Creek","stream","Charlevoix","26","029","451536N","0851444W","45.26","-85.24556","451343N","0851335W","45.22861","-85.22639","","","Ironton"
"MI","Adams Creek","stream","Wexford","26","165","442632N","0853816W","44.44222","-85.63778","442200N","0853612W","44.36667","-85.60333","","","Mesick"
"MI","Adams Drain","canal","Saginaw","26","145","431045N","0840411W","43.17917","-84.06972","","","","","","","Chesaning East"
"MI","Adams Drain","canal","Tuscola","26","157","432005N","0831244W","43.33472","-83.21222","","","","","","","Clifford"
"MI","Adams Drain","canal","Lapeer","26","087","431752N","0831231W","43.29778","-83.20861","","","","","","","Clifford"
"MI","Adams Drain","stream","Wayne","26","163","420855N","0831943W","42.14861","-83.32861","420930N","0832054W","42.15833","-83.34833","","","Flat Rock NE"
"MI","Adams Drain","canal","Genesee","26","049","431209N","0833608W","43.2025","-83.60222","","","","","","","Otisville"
"MI","Adams Heliport","airport","Oakland","26","125","423420N","0832327W","42.57222","-83.39083","","","","","970","","Walled Lake"
"MI","Adams Junior High School","school","Wayne","26","163","421739N","0832208W","42.29417","-83.36889","","","","","","","Inkster"
"MI","Adams Junior High School","school","Wayne","26","163","421826N","0831443W","42.30722","-83.24528","","","","","","","Dearborn"
"MI","Adams Lake","lake","Barry","26","015","423047N","0852923W","42.51306","-85.48972","","","","","890","","Cloverdale"
"MI","Adams Lake","lake","Otsego","26","137","445901N","0842251W","44.98361","-84.38083","","","","","1308","","Johannesburg"
"MI","Adams Lake","lake","Charlevoix","26","029","451549N","0851440W","45.26361","-85.24444","","","","","","","Ironton"
"MI","Adams Lake","lake","St. Joseph","26","149","415905N","0851835W","41.98472","-85.30972","","","","","836","","Colon"
"MI","Adams Lake","lake","St. Joseph","26","149","414936N","0852229W","41.82667","-85.37472","","","","","870","","Burr Oak"
"MI","Adams Oil Field","oilfield","Arenac","26","011","440008N","0840420W","44.00222","-84.07222","","","","","","","Sterling"
"MI","Adams Park","ppl","Kalamazoo","26","077","420914N","0852822W","42.15389","-85.47278","","","","","","","Adams Park"
"MI","Adams Park","park","Menominee","26","109","453307N","0873438W","45.55194","-87.57722","","","","","","","Nadeau"
"MI","Adams Point","cape","Presque Isle","26","141","452452N","0834300W","45.41444","-83.71667","","","","","","","Adams Point"
"MI","Adams School","school","Hillsdale","26","059","415117N","0843930W","41.85472","-84.65833","","","","","","","Reading"
"MI","Adams School","school","Wayne","26","163","422326N","0831922W","42.39056","-83.32278","","","","","","","Redford"
"MI","Adams School","school","Washtenaw","26","161","421455N","0833608W","42.24861","-83.60222","","","","","","","Ypsilanti East"
"MI","Adams School","school","Van Buren","26","159","420645N","0854623W","42.1125","-85.77306","","","","","","","Marcellus"
"MI","Adams School","school","Oakland","26","125","423300N","0831223W","42.55","-83.20639","","","","","","","Birmingham"
"MI","Adams School","school","Huron","26","063","435034N","0825127W","43.84278","-82.8575","","","","","","","Bad Axe SE"
"MI","Adams School","school","Oakland","26","125","424141N","0832052W","42.69472","-83.34778","","","","","","","Pontiac North"
"MI","Adams, Lake","lake","Hillsdale","26","059","415541N","0843219W","41.92806","-84.53861","","","","","1130","","North Adams"
"MI","Adams, Township of","civil","Arenac","26","011","440222N","0840600W","44.03944","-84.1","","","","","","","Sterling"
"MI","Adams, Township of","civil","Hillsdale","26","059","415630N","0843204W","41.94167","-84.53444","","","","","","","North Adams"
"MI","Adams, Township of","civil","Houghton","26","061","470216N","0884142W","47.03778","-88.695","","","","","","","South Range"
"MI","Adamson Lake","lake","Manistee","26","101","442211N","0860837W","44.36972","-86.14361","","","","","","","Onekama"
"MI","Adamsville","ppl","Cass","26","027","414707N","0855938W","41.78528","-85.99389","","","","","","","Adamsville"
"MI","Addams School","school","Oakland","26","125","423040N","0831019W","42.51111","-83.17194","","","","","","","Birmingham"
"MI","Addie, Lake","lake","Keweenaw","26","083","472451N","0875443W","47.41417","-87.91194","","","","","808","","Lake Medora"
"MI","Addis Creek","stream","Missaukee","26","113","442543N","0845351W","44.42861","-84.8975","442542N","0845937W","44.42833","-84.99361","","","Addis Creek"
"MI","Addis Lakes","lake","Alger","26","003","462016N","0864830W","46.33778","-86.80833","","","","","","","Forest Lake"
